R,G,B,H,S,V,label
77.99954223632812,84.22084045410156,101.20956420898438,84.43955993652344,103.19068908691406,103.71621704101562,tidak segar
184.96624755859372,195.388671875,191.021484375,40.16552734375,42.39973449707031,199.19374084472656,segar
146.87330627441406,180.3925628662109,184.2832489013672,64.09104919433594,80.28297424316406,189.66668701171875,tidak segar
79.69007873535156,95.78012084960938,112.97491455078124,48.69203186035156,85.18141174316406,115.32771301269533,tidak segar
93.65357971191406,129.1419219970703,126.31730651855467,65.95048522949219,73.05111694335938,134.29249572753906,tidak segar
51.754638671875,68.62405395507812,105.45375061035156,47.73844909667969,165.707763671875,108.33351135253906,tidak segar
90.86508178710938,114.80239868164062,101.38038635253906,52.53732299804688,83.60128784179688,115.38523864746094,tidak segar
86.39691162109375,139.78392028808594,112.64808654785156,49.78334045410156,128.46595764160156,144.49278259277344,tidak segar
82.03025817871094,139.18995666503906,165.13160705566406,27.458648681640625,142.6961212158203,174.67137145996094,tidak segar
79.55812072753906,133.44509887695312,160.38690185546875,30.70518493652344,154.4923095703125,179.08258056640625,tidak segar
101.15127563476562,83.55313110351562,70.04669189453125,89.35186767578125,127.67221069335938,117.22491455078124,tidak segar
176.7204132080078,225.7021484375,222.10324096679688,28.92149353027344,69.4222412109375,226.1827087402344,segar
185.8048858642578,204.6763916015625,211.1826934814453,20.334945678710938,39.04559326171875,213.90472412109372,segar
151.078125,160.07582092285156,164.16839599609375,87.40213012695312,91.501220703125,181.45150756835935,segar
67.62420654296875,87.7158203125,77.9029541015625,54.7548828125,64.94668579101562,88.78050231933594,tidak segar
71.89128112792969,156.00650024414062,158.63088989257812,29.23681640625,156.4751434326172,168.73033142089844,tidak segar
122.0053253173828,133.7496337890625,129.02020263671875,77.30763244628906,57.59832763671875,143.5294647216797,tidak segar
167.91104125976562,169.06610107421875,155.03076171875,80.70262145996094,68.28053283691406,189.6625213623047,segar
55.14653015136719,143.83734130859375,112.96107482910156,41.411163330078125,167.406005859375,143.84817504882812,tidak segar
191.4539031982422,181.89407348632807,193.60430908203125,61.586212158203125,54.99261474609375,199.77618408203125,segar
159.11634826660156,216.7627410888672,228.063232421875,22.304122924804688,87.43766784667969,228.1763458251953,segar
137.648681640625,141.1546173095703,135.35304260253906,69.26853942871094,65.67601013183594,154.1688995361328,tidak segar
113.45980834960938,100.34164428710938,118.08090209960938,111.62008666992188,118.01271057128906,139.41000366210938,tidak segar
185.885986328125,207.7369079589844,206.8342437744141,55.42950439453125,43.82691955566406,212.4589080810547,segar
164.53651428222656,180.5431671142578,176.9468536376953,40.77119445800781,44.43705749511719,182.7319183349609,segar
74.80738830566406,156.0807342529297,138.9373779296875,79.25270080566406,197.7563934326172,196.08848571777344,tidak segar
201.809814453125,227.84788513183597,231.15185546875,27.82470703125,46.7301025390625,236.4405670166016,segar
154.2978515625,210.2158966064453,228.51535034179688,21.85018920898437,94.3870086669922,228.63414001464844,segar
184.57394409179688,200.07330322265625,232.12405395507807,15.663436889648438,61.139984130859375,232.2599639892578,segar
118.0903778076172,91.31231689453124,80.85934448242188,102.11386108398438,133.26556396484375,132.33399963378906,tidak segar
73.30662536621094,138.2378387451172,177.0846710205078,19.05722045898437,150.43850708007812,180.16973876953125,tidak segar
174.03375244140625,190.82945251464844,182.93548583984372,43.75440979003906,43.99874877929688,194.8448181152344,segar
46.03056335449219,42.982452392578125,44.09788513183594,57.14697265625,94.10333251953124,57.8299560546875,tidak segar
206.24610900878903,221.13645935058597,234.0922393798828,40.63034057617188,43.23257446289063,237.4506683349609,segar
82.95097351074219,109.08602905273438,155.44009399414062,42.47343444824219,126.6669921875,157.39926147460938,tidak segar
203.753173828125,190.21646118164065,160.21929931640625,90.546630859375,68.26870727539062,209.39669799804688,segar
53.43006896972656,88.96804809570312,121.05308532714844,25.83831787109375,161.70584106445312,129.63690185546875,tidak segar
89.67747497558594,172.96121215820312,181.8967437744141,35.26881408691406,136.8099822998047,185.82150268554688,tidak segar
161.97628784179688,192.95445251464844,212.36045837402344,43.000885009765625,64.79237365722656,213.45887756347656,segar
59.24855041503906,112.73007202148438,119.46090698242188,34.2562255859375,170.7779083251953,127.88662719726562,tidak segar
38.11906433105469,83.83013916015625,73.22547912597656,54.414154052734375,145.6885986328125,85.56962585449219,tidak segar
142.4971923828125,157.22222900390625,189.24057006835935,88.58010864257812,105.27517700195312,192.17578125,tidak segar
101.01121520996094,90.86384582519533,118.8119659423828,124.15255737304688,107.8612060546875,125.84465026855467,tidak segar
180.8177490234375,184.4573516845703,182.10025024414065,38.32882690429688,22.32417297363281,185.90939331054688,segar
225.87570190429688,230.3933563232422,237.17344665527344,26.39131164550781,24.07220458984375,238.69862365722656,segar
204.04666137695312,204.40089416503903,215.51193237304688,29.233551025390625,37.18833923339844,215.6988220214844,segar
106.0456085205078,105.8065948486328,154.6114959716797,100.87747192382812,125.18141174316406,160.6161346435547,tidak segar
38.91246032714844,114.97975158691406,120.17921447753906,29.452713012695312,181.7984771728516,124.86497497558594,tidak segar
116.4543914794922,113.30137634277344,107.4381866455078,97.14520263671876,116.89459228515624,142.5994110107422,tidak segar
82.06491088867188,79.36064147949219,121.09709167480467,119.9125518798828,123.68666076660156,121.10685729980467,tidak segar
115.60783386230467,113.38018798828124,133.76223754882812,109.835205078125,81.05690002441406,139.94459533691406,tidak segar
182.88168334960935,212.8313751220703,196.57261657714844,40.2353515625,53.89276123046875,215.43641662597656,segar
195.123291015625,197.0271759033203,236.5753936767578,23.713836669921875,54.355072021484375,236.6935272216797,segar
203.0341339111328,208.5774383544922,246.3608245849609,27.615646362304688,48.66079711914063,246.68055725097656,segar
232.70050048828125,244.89097595214844,247.87892150878903,8.96368408203125,18.218658447265625,247.9445343017578,segar
97.44148254394533,199.8513946533203,159.10926818847656,40.87905883789063,135.94583129882812,200.11839294433597,tidak segar
65.45985412597656,134.2050323486328,160.22161865234375,25.156951904296875,159.44024658203125,168.95481872558594,tidak segar
87.72407531738281,116.3697509765625,114.83033752441406,86.23506164550781,88.26377868652344,126.16046142578124,tidak segar
155.39846801757812,160.82177734375,167.2853240966797,56.6602783203125,33.988616943359375,168.20748901367188,segar
96.33665466308594,105.6683349609375,88.798095703125,87.41384887695312,94.4295654296875,120.17034912109376,tidak segar
76.31063842773438,109.61544799804688,112.11296081542967,50.81024169921875,110.08210754394533,123.09645080566406,tidak segar
198.7960968017578,220.1453094482422,223.27232360839844,16.00933837890625,41.9444580078125,224.6010589599609,segar
109.87664794921876,116.2302703857422,116.48753356933594,81.93746948242188,97.84971618652344,138.57958984375,tidak segar
66.77523803710938,121.38172912597656,176.47183227539062,42.62562561035156,170.05010986328125,176.47183227539062,tidak segar
141.1816864013672,111.78076171875,169.24099731445312,143.216064453125,101.73785400390624,174.3336944580078,tidak segar
75.68917846679688,148.25669860839844,169.9358673095703,30.454025268554688,156.35012817382812,172.27940368652344,tidak segar
83.39173889160156,90.81707763671876,114.56697082519533,62.74916076660156,81.5352783203125,118.2460479736328,tidak segar
178.8291015625,175.04165649414062,194.94337463378903,90.33927917480467,56.88917541503906,199.0406951904297,segar
174.84837341308594,198.60276794433597,204.8181915283203,60.62445068359375,67.59727478027344,211.75816345214844,segar
152.54132080078125,127.15080261230467,102.70263671875,99.1566162109375,113.58775329589844,163.34014892578125,segar
49.32305908203125,94.88873291015624,81.8076171875,51.2977294921875,143.13099670410156,96.14732360839844,tidak segar
179.12765502929688,218.9236602783203,201.3319091796875,24.27598571777344,60.43367004394531,219.03451538085935,segar
